NODE,MODEL,,SERIAL NUMBER,TOTAL PHYSICAL MEMORY,TYPE,LAST USER LOGGED,,,,,,,,,
NBR109944,HP Compaq Pro 6300 SFF,,MXL3260KR1,4,,NABORS\fabian.ulloa,,,,,,,,,
NBR109759,HP EliteDesk 800 G1 SFF,,MXL6031NJ7,4,,NABORS\hugo.marquez,,,,,,,,,
NBR109932,HP Compaq Pro 6300 SFF,,MXL3260KR3,4,,NABORS\alejandra.dapelo,,,,,,,,,
NBR109763,HP EliteDesk 800 G1 SFF,,MXL6031NJ0,4,,NABORS\Ailyn.Sequea,,,,,,,,,
NBR109762,HP EliteDesk 800 G1 SFF,,MXL6031KDZ,4,,NABORS\Matias.Stellisano,,,,,,,,,
NBR108729,HP EliteBook Folio 9470m,,CNU406CDWX,4,,NABORS\Juan.Santonocito,,,,,,,,,
NBR115140,HP EliteDesk 800 G1 USDT,,MXL4270MQ8,4,,NABORS\eliana.gutierrez,,,,,,,,,
NBR107981,HP Compaq Pro 6300 SFF,,MXL3260KNN,4,,NABORS\maria.cobo,,,,,,,,,
NBR107436,HP EliteBook Folio 9470m,,CNU331B4ZC,4,,NABORS\Dario.Garazzini,,,,,,,,,
NBR115865,HP EliteBook 840 G5,,5CG8470BX5,17,,NABORS\Marcela.Lorente,,,,,,,,,
NBR109770,HP EliteBook 840 G3,,5CG6452SCQ,4,,NABORS\Jose.Rocha,,,,,,,,,
NBR109657,HP EliteBook Folio 9470m,,CNU427B1V7,4,,NABORS\Gaston.Rizzi,,,,,,,,,
NBR109939,HP Compaq Pro 6300 SFF,,MXL3260KPN,4,,NABORS\Gabriela.Cancela,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Node,PHYSICAL MEMORY BY SLOT,TYPE,MANUFACTURER,PART NUMBER,SPEED,,,,,,,,,,
NBR109944,4,DESKTOP,Elpida,EBJ40UG8EFW0-GN-F ,1600,,,,,,8,DESKTOP,,,
NBR109759,4,DESKTOP,Kingston,HP698650-154-MCN  ,1600,,,,,,8,DESKTOP,,,4.29497E-09
NBR109932,4,DESKTOP,Elpida,EBJ40UG8EFW0-GN-F ,1600,,,,,,8,DESKTOP,,,4.29497E-09
NBR109763,4,DESKTOP,Kingston,HP698650-154-MCN  ,1600,,,,,,8,DESKTOP,,,4.29497E-09
NBR109762,4,DESKTOP,Kingston,HP698650-154-MCN  ,1600,,,,,,8,DESKTOP,,,4.29497E-09
NBR108729,4,LAPTOP,Kingston,HP16D3LS1KFG/4G   ,1600,,,,,,12,LAPTOP,,,4.29497E-09
NBR115140,4,DESKTOP,Samsung,M378B5173DB0-CK0  ,1600,,,,,,8,DESKTOP,,,4.29497E-09
NBR107981,4,DESKTOP,Elpida,EBJ40UG8EFW0-GN-F ,1600,,,,,,8,DESKTOP,,,4.29497E-09
NBR107436,9,LAPTOP,Micron,8KTF51264HZ-1G6E1 ,1600,,,,,,12,LAPTOP,,,8.58993E-09
NBR115865,9,LAPTOP,Kingston,99U5624-001.A00G    ,2400,,,,,,12,LAPTOP,,,8.58993E-09
NBR115865,4,LAPTOP,Samsung,M471A1K43DB1-CTD    ,2400,,,,,,12,LAPTOP,,,4.29497E-09
NBR109770,4,LAPTOP,Hynix/Hyundai,HMA851S6AFR6N-UH    ,2133,,,,,,12,LAPTOP,,,4.29497E-09
NBR109657,4,LAPTOP,Samsung,M471B5173DB0-YK0  ,1600,,,,,,12,LAPTOP,,,4.29497E-09
NBR109939,4,DESKTOP,Elpida,EBJ40UG8EFW0-GN-F ,1600,,,,,,8,DESKTOP,,,4.29497E-09
